PLR_NAME,Player,Team ABR,Team,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD,Position,College
Zaire Franklin,Zaire Franklin,IND,Indianapolis,1,15,83,68,151,2.5,4,6,5,2,4,4,0,3,0,0,LB,Syracuse
Budda Baker,Budda Baker,ARI,Arizona,2,15,90,58,148,2.0,13,9,3,0,0,0,0,0,0,0,DB,Washington
Zack Baun,Zack Baun,PHI,Philadelphia,3,15,92,53,145,3.5,23,11,3,1,0,0,0,5,1,0,LB,Wisconsin
Daiyan Henley,Daiyan Henley,LAC,LA Chargers,4,15,82,60,142,1.0,1,7,7,0,0,0,0,0,0,0,LB,Washington State
Jamien Sherwood,Jamien Sherwood,NYJ,NY Jets,4,15,90,52,142,2.0,11,9,2,0,0,0,0,0,0,0,LB,Auburn
Roquan Smith,Roquan Smith,BAL,Baltimore,6,14,71,65,136,0.5,3,3,4,1,0,0,0,1,1,0,LB,Georgia
Robert Spillane,Robert Spillane,LV,Las Vegas,7,15,81,53,134,1.0,6,8,5,2,0,0,0,0,0,0,LB,Western Michigan
Kaden Elliss,Kaden Elliss,ATL,Atlanta,8,15,75,56,131,5.0,37,8,2,0,0,0,0,1,1,0,LB,Idaho
Nick Cross,Nick Cross,IND,Indianapolis,8,15,82,49,131,1.0,2,5,5,3,25,20,0,1,0,0,DB,Maryland
Germaine Pratt,Germaine Pratt,CIN,Cincinnati,10,15,73,57,130,0.0,0,4,5,1,24,24,0,2,2,0,LB,North Carolina State
E.J. Speed,E.J. Speed,IND,Indianapolis,11,13,87,42,129,0.0,0,7,4,1,12,12,0,0,0,0,LB,Tarleton State
Christian Rozeboom,Christian Rozeboom,LAR,LA Rams,12,15,66,62,128,1.0,6,5,4,1,16,16,0,0,0,0,LB,South Dakota State
Jordyn Brooks,Jordyn Brooks,MIA,Miami,12,15,75,53,128,3.0,19,10,5,0,0,0,0,0,2,0,LB,Texas Tech
Nakobe Dean,Nakobe Dean,PHI,Philadelphia,12,15,80,48,128,3.0,26,9,4,1,0,0,0,1,2,0,LB,Georgia
Eric Kendricks,Eric Kendricks,DAL,Dallas,15,13,63,61,124,3.0,8,3,3,2,15,8,0,3,1,0,LB,UCLA
Ernest Jones IV,Ernest Jones,SEA/TEN,Seattle,16,14,72,51,123,0.0,0,4,4,1,12,12,0,1,0,0,LB,South Carolina
T.J. Edwards,T.J. Edwards,CHI,Chicago,17,15,72,47,119,3.0,18,10,3,1,0,0,0,1,1,0,LB,Wisconsin
Kyzir White,Kyzir White,ARI,Arizona,17,15,51,68,119,2.5,15,7,2,1,0,0,0,0,1,0,LB,West Virginia
Bobby Wagner,Bobby Wagner,WSH,Washington,19,15,71,47,118,2.0,13,8,2,0,0,0,0,1,2,0,LB,Utah State
Fred Warner,Fred Warner,SF,San Francisco,20,15,68,49,117,1.0,0,3,7,2,70,45,1,4,0,0,LB,Brigham Young
Patrick Queen,Patrick Queen,PIT,Pittsburgh,20,15,57,60,117,0.0,0,5,6,0,0,0,0,1,1,0,LB,Louisiana State
Jack Campbell,Jack Campbell,DET,Detroit,22,15,63,53,116,1.5,5,5,5,0,0,0,0,1,0,0,LB,Iowa
Lavonte David,Lavonte David,TB,Tampa Bay,23,15,72,40,112,5.5,44,9,5,1,7,7,0,3,1,0,LB,Nebraska
Kevin Byard III,Kevin Byard,CHI,Chicago,23,15,67,45,112,1.0,3,4,7,1,0,0,0,0,2,0,DB,Middle Tennessee State
