PLR_NAME,Player,Team ABR,Team,RK,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Position,College
Joe Burrow,Joe Burrow,CIN,Cincinnati,1,15,384,557,68.9,4229,7.6,281.9,70,39,8,37,219,74.3,108.5,QB,Louisiana State
Jared Goff,Jared Goff,DET,Detroit,2,15,337,472,71.4,4095,8.7,273.0,82,33,10,27,203,66.3,112.2,QB,California
Geno Smith,Geno Smith,SEA,Seattle,3,15,370,528,70.1,3937,7.5,262.5,71,17,15,45,308,53.4,90.4,QB,West Virginia
Baker Mayfield,Baker Mayfield,TB,Tampa Bay,4,15,359,506,70.9,3920,7.7,261.3,57,34,15,37,233,57.3,103.5,QB,Oklahoma
Lamar Jackson,Lamar Jackson,BAL,Baltimore,5,15,290,427,67.9,3787,8.9,252.5,84,37,4,22,146,75.5,120.6,QB,Louisville
Lamar Jackson,Lamar Jackson,BAL,Atlanta,5,15,290,427,67.9,3787,8.9,252.5,84,37,4,22,146,75.5,120.6,DB,Nebraska
Sam Darnold,Sam Darnold,MIN,Minnesota,6,15,310,461,67.2,3776,8.2,251.7,97,32,11,45,306,62.0,105.4,QB,Southern California
Patrick Mahomes,Patrick Mahomes,KC,Kansas City,7,15,363,543,66.9,3608,6.6,240.5,54,23,11,36,239,66.8,91.2,QB,Texas Tech
Matthew Stafford,Matthew Stafford,LAR,LA Rams,8,15,323,485,66.6,3573,7.4,238.2,69,20,8,28,213,65.6,95.2,QB,Georgia
Josh Allen,Josh Allen,BUF,Buffalo,9,15,291,456,63.8,3549,7.8,236.6,64,26,6,14,63,76.7,101.2,QB,Wyoming
Aaron Rodgers,Aaron Rodgers,NYJ,NY Jets,10,15,333,530,62.8,3511,6.6,234.1,71,24,8,33,259,52.2,90.8,QB,California
Kirk Cousins,Kirk Cousins,ATL,Atlanta,11,14,303,453,66.9,3508,7.7,250.6,60,18,16,28,201,52.0,88.6,QB,Michigan State
C.J. Stroud,C.J. Stroud,HOU,Houston,12,15,313,495,63.2,3492,7.1,232.8,67,19,11,47,371,51.4,87.7,QB,Ohio State
Brock Purdy,Brock Purdy,SF,San Francisco,13,14,273,420,65.0,3487,8.3,249.1,76,17,10,29,144,65.2,94.4,QB,Iowa State
Jayden Daniels,Jayden Daniels,WSH,Washington,14,15,301,432,69.7,3303,7.6,220.2,86,22,8,38,189,71.9,101.3,QB,Louisiana State
Kyler Murray,Kyler Murray,ARI,Arizona,15,15,314,458,68.6,3288,7.2,219.2,60,16,9,26,182,67.6,92.6,QB,Oklahoma
Caleb Williams,Caleb Williams,CHI,Chicago,16,15,314,505,62.2,3271,6.5,218.1,47,19,5,60,413,47.7,89.3,QB,Southern California
Justin Herbert,Justin Herbert,LAC,LA Chargers,17,15,278,430,64.7,3243,7.5,216.2,66,18,3,40,234,59.7,98.4,QB,Oregon
Bo Nix,Bo Nix,DEN,Denver,18,15,326,507,64.3,3235,6.4,215.7,93,22,11,22,185,53.2,87.7,QB,Oregon
Jordan Love,Jordan Love,GB,Green Bay,19,12,226,355,63.7,2953,8.3,246.1,70,23,11,11,77,66.0,98.5,QB,Utah State
Jalen Hurts,Jalen Hurts,PHI,Philadelphia,20,15,248,361,68.7,2903,8.0,193.5,67,18,5,38,271,66.3,103.7,QB,Oklahoma
Tua Tagovailoa,Tua Tagovailoa,MIA,Miami,21,11,291,399,72.9,2867,7.2,260.6,80,19,7,21,154,59.7,101.4,QB,Alabama
Drake Maye,Drake Maye,NE,New England,22,11,213,315,67.6,2159,6.9,196.3,40,14,10,29,190,60.0,88.6,QB,North Carolina
Derek Carr,Derek Carr,NO,New Orleans,23,10,189,279,67.7,2145,7.7,214.5,71,15,5,8,48,64.6,101.0,QB,Fresno State
Russell Wilson,Russell Wilson,PIT,Pittsburgh,24,9,174,268,64.9,2129,7.9,236.6,46,15,4,24,147,53.5,101.7,QB,Wisconsin
Jameis Winston,Jameis Winston,CLE,Cleveland,25,12,181,296,61.1,2121,7.2,176.8,89,13,12,24,130,57.4,80.6,QB,Florida State
Daniel Jones,Daniel Jones,NYG,Minnesota,26,10,216,341,63.3,2070,6.1,207.0,43,8,7,29,172,47.6,79.4,QB,Duke
Trevor Lawrence,Trevor Lawrence,JAX,Jacksonville,27,10,172,284,60.6,2045,7.2,204.5,85,11,7,18,140,58.7,85.2,QB,Clemson
Gardner Minshew,Gardner Minshew,LV,Las Vegas,28,10,203,306,66.3,2013,6.6,201.3,57,9,10,29,164,38.1,81.0,QB,Washington State
Dak Prescott,Dak Prescott,DAL,Dallas,29,8,185,286,64.7,1978,6.9,247.3,65,11,8,21,112,46.8,86.0,QB,Mississippi State
Bryce Young,Bryce Young,CAR,Carolina,30,12,194,322,60.2,1949,6.1,162.4,83,10,9,24,148,47.2,76.2,QB,Alabama
Will Levis,Will Levis,TEN,Tennessee,31,11,181,284,63.7,1916,6.7,174.2,98,12,12,40,225,30.2,79.8,QB,Kentucky
Anthony Richardson,Anthony Richardson,IND,Indianapolis,32,11,126,264,47.7,1814,6.9,164.9,69,8,12,14,115,47.2,61.6,QB,Florida
Cooper Rush,Cooper Rush,DAL,Dallas,33,11,172,280,61.4,1697,6.1,154.3,64,11,3,12,88,40.8,87.2,QB,Central Michigan
Mac Jones,Mac Jones,JAX,Jacksonville,34,8,136,208,65.4,1273,6.1,159.1,62,5,7,10,80,36.0,76.1,QB,Alabama
Mason Rudolph,Mason Rudolph,TEN,Tennessee,35,6,120,188,63.8,1267,6.7,211.2,47,8,8,7,48,54.4,79.8,QB,Oklahoma State
Joe Flacco,Joe Flacco,IND,Indianapolis,36,6,113,170,66.5,1167,6.9,194.5,65,9,5,13,101,54.7,91.5,QB,Delaware
Aidan O'Connell,Aidan O'Connell,LV,Las Vegas,37,7,110,174,63.2,1156,6.6,165.1,58,4,3,9,72,39.5,82.9,QB,Purdue
Deshaun Watson,Deshaun Watson,CLE,Cleveland,38,7,137,216,63.4,1148,5.3,164.0,35,5,3,33,191,23.1,79.0,QB,Clemson
Justin Fields,Justin Fields,PIT,Pittsburgh,39,10,106,161,65.8,1106,6.9,110.6,55,5,1,16,124,53.4,93.3,QB,Ohio State
Andy Dalton,Andy Dalton,CAR,Carolina,40,6,106,160,66.3,989,6.2,164.8,39,7,6,7,37,56.5,82.0,QB,Texas Christian
Jacoby Brissett,Jacoby Brissett,NE,New England,41,7,94,159,59.1,828,5.2,118.3,50,2,1,18,119,43.6,74.6,QB,North Carolina State
Spencer Rattler,Spencer Rattler,NO,New Orleans,42,4,69,120,57.5,706,5.9,176.5,41,2,2,14,73,41.1,73.1,QB,South Carolina
Drew Lock,Drew Lock,NYG,NY Giants,43,6,68,129,52.7,624,4.8,104.0,23,1,4,12,88,33.0,55.8,QB,Missouri
Desmond Ridder,Desmond Ridder,LV,Las Vegas,44,5,51,83,61.4,447,5.4,89.4,28,2,2,10,64,30.5,73.7,QB,Cincinnati
