Player,Position,Team,College
Israel Abanikanda,RB,San Francisco,Pittsburgh
Ameer Abdullah,RB,Las Vegas,Nebraska
Yasir Abdullah,LB,Jacksonville,Louisville
Micah Abernathy,DB,Atlanta,Tennessee
Micah Abraham,DB,Cincinnati,Marshall
Kris Abrams-Draine,DB,Denver,Missouri
De'Von Achane,RB,Miami,Texas A&M
Davante Adams,WR,NY Jets,Fresno State
Isaiah Adams,OT,Arizona,Illinois
Jamal Adams,DB,Detroit,Louisiana State
Matthew Adams,LB,NY Giants,Houston
Montravius Adams,DT,Pittsburgh,Auburn
Myles Adams,DE,Detroit,Rice
Tony Adams,DB,NY Jets,Illinois
Jordan Addison,WR,Minnesota,Southern California
Adetomiwa Adebawore,DT,Indianapolis,Northwestern
Paulson Adebo,DB,New Orleans,Stanford
Hakeem Adeniji,OT,Cleveland,Kansas
Nate Adkins,TE,Denver,South Carolina
Cal Adomitis,LS,Cincinnati,Pittsburgh
Nelson Agholor,WR,Baltimore,Southern California
McTelvin Agim,DT,Tennessee,Arkansas
Jamal Agnew,WR,Pittsburgh,San Diego
David Ebuka Agoha,DE,Las Vegas,--
Mitchell Agude,LB,Detroit,Miami
Salvon Ahmed,RB,Indianapolis,Washington
Junior Aho,DT,Atlanta,Southern Methodist
Brandon Aiyuk,WR,San Francisco,Arizona State
Austin Ajiake,LB,Indianapolis,Nevada-Las Vegas
Cam Akers,RB,Minnesota,Florida State
Jordan Akins,TE,Cleveland,Central Florida
Azeez Al-Shaair,LB,Houston,Florida Atlantic
Isaac Alarcon,OT,San Francisco,ITESM Monterrey
Jaire Alexander,DB,Green Bay,Louisville
Kwon Alexander,LB,Detroit,Louisiana State
Deslin Alexandre,LB,Green Bay,Pittsburgh
DeAundre Alford,DB,Atlanta,Tusculum College
Rasheen Ali,RB,Baltimore,Marshall
Mo Alie-Cox,TE,Indianapolis,Virginia Commonwealth
Erick All,TE,Cincinnati,Iowa
Nick Allegretti,OG,Washington,Illinois
Braelon Allen,RB,NY Jets,Wisconsin
Brandon Allen,QB,San Francisco,Arkansas
Davis Allen,TE,LA Rams,Clemson
Jonathan Allen,DT,Washington,Alabama
Josh Allen,QB,Buffalo,Wyoming
Kazmeir Allen,WR,Washington,UCLA
Keenan Allen,WR,Chicago,California
Kyle Allen,QB,Pittsburgh,Houston
Zach Allen,DE,Denver,Boston College
Tyler Allgeier,RB,Atlanta,Brigham Young
