Player,Position,Team,College
Jordan Jackson,Defensive Tackle,Denver Broncos,Air Force
Bo Richter,Linebacker,Minnesota Vikings,Air Force
Trey Taylor,Safety,Las Vegas Raiders,Air Force
Will Anderson Jr.,Defensive End,Houston Texans,Alabama
Jalyn Armour-Davis,Cornerback,Baltimore Ravens,Alabama
Terrion Arnold,Cornerback,Detroit Lions,Alabama
Jordan Battle,Safety,Cincinnati Bengals,Alabama
Bradley Bozeman,Center,Los Angeles Chargers,Alabama
Brian Branch,Safety,Detroit Lions,Alabama
Chris Braswell,Linebacker,Tampa Bay Buccaneers,Alabama
Jermaine Burton,Wide Receiver,Cincinnati Bengals,Alabama
Amari Cooper,Wide Receiver,Buffalo Bills,Alabama
Lester Cotton,Guard,New England Patriots,Alabama
Raekwon Davis,Defensive Tackle,Indianapolis Colts,Alabama
Landon Dickerson,Guard,Philadelphia Eagles,Alabama
Justin Eboigbe,Defensive Tackle,Los Angeles Chargers,Alabama
Minkah Fitzpatrick,Safety,Pittsburgh Steelers,Alabama
Jahmyr Gibbs,Running Back,Detroit Lions,Alabama
Da'Shawn Hand,Defensive Tackle,Miami Dolphins,Alabama
Najee Harris,Running Back,Pittsburgh Steelers,Alabama
Christian Harris,Linebacker,Houston Texans,Alabama
Ronnie Harrison Jr.,Safety,Indianapolis Colts,Alabama
Derrick Henry,Running Back,Baltimore Ravens,Alabama
Marlon Humphrey,Cornerback,Baltimore Ravens,Alabama
Kareem Jackson,Safety,Buffalo Bills,Alabama
Josh Jacobs,Running Back,Green Bay Packers,Alabama
Anfernee Jennings,Linebacker,New England Patriots,Alabama
Jerry Jeudy,Wide Receiver,Cleveland Browns,Alabama
Josh Jobe,Cornerback,Seattle Seahawks,Alabama
Mac Jones,Quarterback,Jacksonville Jaguars,Alabama
Ryan Kelly,Center,Indianapolis Colts,Alabama
JC Latham,Offensive Tackle,Tennessee Titans,Alabama
Phidarian Mathis,Defensive Tackle,Washington Commanders,Alabama
AJ McCarron,Quarterback,Cincinnati Bengals,Alabama
Xavier McKinney,Safety,Green Bay Packers,Alabama
Kool-Aid McKinstry,Cornerback,New Orleans Saints,Alabama
John Metchie III,Wide Receiver,Houston Texans,Alabama
Evan Neal,Offensive Tackle,New York Giants,Alabama
Daron Payne,Defensive Tackle,Washington Commanders,Alabama
LaBryan Ray,Defensive End,Carolina Panthers,Alabama
Jarran Reed,Defensive Tackle,Seattle Seahawks,Alabama
Will Reichard,Place kicker,Minnesota Vikings,Alabama
Eli Ricks,Cornerback,Philadelphia Eagles,Alabama
