RK,NAME,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
1,Joe Burrow CIN,15,384,557,68.9,"4,229",7.6,281.9,70,39,8,37,219,74.3,108.5
2,Jared Goff DET,15,337,472,71.4,"4,095",8.7,273.0,82,33,10,27,203,66.3,112.2
3,Geno Smith SEA,15,370,528,70.1,"3,937",7.5,262.5,71,17,15,45,308,53.4,90.4
4,Baker Mayfield TB,15,359,506,70.9,"3,920",7.7,261.3,57,34,15,37,233,57.3,103.5
5,Lamar Jackson BAL,15,290,427,67.9,"3,787",8.9,252.5,84,37,4,22,146,75.5,120.6
6,Sam Darnold MIN,15,310,461,67.2,"3,776",8.2,251.7,97,32,11,45,306,62.0,105.4
7,Patrick Mahomes KC,15,363,543,66.9,"3,608",6.6,240.5,54,23,11,36,239,66.8,91.2
8,Matthew Stafford LAR,15,323,485,66.6,"3,573",7.4,238.2,69,20,8,28,213,65.6,95.2
9,Josh Allen BUF,15,291,456,63.8,"3,549",7.8,236.6,64,26,6,14,63,76.7,101.2
10,Aaron Rodgers NYJ,15,333,530,62.8,"3,511",6.6,234.1,71,24,8,33,259,52.2,90.8
11,Kirk Cousins ATL,14,303,453,66.9,"3,508",7.7,250.6,60,18,16,28,201,52.0,88.6
12,C.J. Stroud HOU,15,313,495,63.2,"3,492",7.1,232.8,67,19,11,47,371,51.4,87.7
13,Brock Purdy SF,14,273,420,65.0,"3,487",8.3,249.1,76,17,10,29,144,65.2,94.4
14,Jayden Daniels WSH,15,301,432,69.7,"3,303",7.6,220.2,86,22,8,38,189,71.9,101.3
15,Kyler Murray ARI,15,314,458,68.6,"3,288",7.2,219.2,60,16,9,26,182,67.6,92.6
16,Caleb Williams CHI,15,314,505,62.2,"3,271",6.5,218.1,47,19,5,60,413,47.7,89.3
17,Justin Herbert LAC,15,278,430,64.7,"3,243",7.5,216.2,66,18,3,40,234,59.7,98.4
18,Bo Nix DEN,15,326,507,64.3,"3,235",6.4,215.7,93,22,11,22,185,53.2,87.7
19,Jordan Love GB,12,226,355,63.7,"2,953",8.3,246.1,70,23,11,11,77,66.0,98.5
20,Jalen Hurts PHI,15,248,361,68.7,"2,903",8.0,193.5,67,18,5,38,271,66.3,103.7
21,Tua Tagovailoa MIA,11,291,399,72.9,"2,867",7.2,260.6,80,19,7,21,154,59.7,101.4
22,Drake Maye NE,11,213,315,67.6,"2,159",6.9,196.3,40,14,10,29,190,60.0,88.6
23,Derek Carr NO,10,189,279,67.7,"2,145",7.7,214.5,71,15,5,8,48,64.6,101.0
24,Russell Wilson PIT,9,174,268,64.9,"2,129",7.9,236.6,46,15,4,24,147,53.5,101.7
25,Jameis Winston CLE,12,181,296,61.1,"2,121",7.2,176.8,89,13,12,24,130,57.4,80.6
26,Daniel Jones NYG,10,216,341,63.3,"2,070",6.1,207.0,43,8,7,29,172,47.6,79.4
27,Trevor Lawrence JAX,10,172,284,60.6,"2,045",7.2,204.5,85,11,7,18,140,58.7,85.2
28,Gardner Minshew LV,10,203,306,66.3,"2,013",6.6,201.3,57,9,10,29,164,38.1,81.0
29,Dak Prescott DAL,8,185,286,64.7,"1,978",6.9,247.3,65,11,8,21,112,46.8,86.0
30,Bryce Young CAR,12,194,322,60.2,"1,949",6.1,162.4,83,10,9,24,148,47.2,76.2
31,Will Levis TEN,11,181,284,63.7,"1,916",6.7,174.2,98,12,12,40,225,30.2,79.8
32,Anthony Richardson IND,11,126,264,47.7,"1,814",6.9,164.9,69,8,12,14,115,47.2,61.6
33,Cooper Rush DAL,11,172,280,61.4,"1,697",6.1,154.3,64,11,3,12,88,40.8,87.2
34,Mac Jones JAX,8,136,208,65.4,"1,273",6.1,159.1,62,5,7,10,80,36.0,76.1
35,Mason Rudolph TEN,6,120,188,63.8,"1,267",6.7,211.2,47,8,8,7,48,54.4,79.8
36,Joe Flacco IND,6,113,170,66.5,"1,167",6.9,194.5,65,9,5,13,101,54.7,91.5
37,Aidan O'Connell LV,7,110,174,63.2,"1,156",6.6,165.1,58,4,3,9,72,39.5,82.9
38,Deshaun Watson CLE,7,137,216,63.4,"1,148",5.3,164.0,35,5,3,33,191,23.1,79.0
39,Justin Fields PIT,10,106,161,65.8,"1,106",6.9,110.6,55,5,1,16,124,53.4,93.3
40,Andy Dalton CAR,6,106,160,66.3,989,6.2,164.8,39,7,6,7,37,56.5,82.0
41,Jacoby Brissett NE,7,94,159,59.1,828,5.2,118.3,50,2,1,18,119,43.6,74.6
42,Spencer Rattler NO,4,69,120,57.5,706,5.9,176.5,41,2,2,14,73,41.1,73.1
43,Drew Lock NYG,6,68,129,52.7,624,4.8,104.0,23,1,4,12,88,33.0,55.8
44,Desmond Ridder LV,5,51,83,61.4,447,5.4,89.4,28,2,2,10,64,30.5,73.7
45,Malik Willis GB,5,29,39,74.4,380,9.7,76.0,51,3,0,5,16,88.9,130.3
46,Tyler Huntley MIA,3,39,66,59.1,377,5.7,125.7,25,1,1,7,45,23.9,73.9
47,Tim Boyle MIA/NYG,3,27,50,54.0,276,5.5,92.0,30,1,1,2,11,32.2,68.4
48,Tommy DeVito NYG,3,31,44,70.5,257,5.8,85.7,23,0,0,6,31,26.1,85.1
48,Dorian Thompson-Robinson CLE,5,35,68,51.5,257,3.8,51.4,29,0,5,6,35,18.0,30.1
50,Michael Penix Jr. ATL,3,21,32,65.6,240,7.5,80.0,22,0,1,1,0,50.9,75.0
51,Jake Haener NO,8,18,39,46.2,226,5.8,28.3,36,1,1,6,55,13.7,62.6
52,Marcus Mariota WSH,2,19,26,73.1,203,7.8,101.5,25,2,0,1,4,58.6,121.2
53,Brandon Allen SF,3,17,30,56.7,199,6.6,66.3,31,1,2,2,2,34.8,60.3
54,Skylar Thompson MIA,3,21,33,63.6,187,5.7,62.3,22,0,0,6,44,3.5,78.7
55,Kenny Pickett PHI,4,15,27,55.6,148,5.5,37.0,45,1,1,4,33,55.2,68.1
56,Davis Mills HOU,2,7,13,53.8,79,6.1,39.5,25,0,0,1,7,89.1,72.3
57,Hendon Hooker DET,3,6,9,66.7,62,6.9,20.7,21,0,0,1,9,42.5,86.3
58,Nick Mullens MIN,4,2,2,100.0,38,19.0,9.5,24,0,0,0,0,97.7,118.8
59,Tyrod Taylor NYJ,1,6,8,75.0,36,4.5,36.0,9,1,0,0,0,95.9,122.9
60,Jaxon Smith-Njigba SEA,15,1,1,100.0,35,35.0,2.3,35,0,0,0,0,100.0,118.8
61,AJ Cole LV,15,1,1,100.0,34,34.0,2.3,34,0,0,0,0,,118.8
62,Courtland Sutton DEN,15,2,2,100.0,30,15.0,2.0,28,1,0,0,0,100.0,158.3
63,Taylor Heinicke LAC,3,3,3,100.0,28,9.3,9.3,18,0,0,3,28,6.3,105.6
64,Sam Howell SEA,3,5,14,35.7,24,1.7,8.0,12,0,1,4,21,3.4,14.6
64,Adonai Mitchell IND,15,1,1,100.0,24,24.0,1.6,24,0,0,0,0,71.5,118.8
66,Justin Jefferson MIN,15,1,1,100.0,22,22.0,1.5,22,0,0,0,0,27.7,118.8
67,Taysom Hill NO,8,2,4,50.0,21,5.3,2.6,18,0,1,0,0,92.4,26.0
67,Cedrick Wilson Jr. NO,12,1,1,100.0,21,21.0,1.8,21,1,0,0,0,100.0,158.3
67,Trey Lance DAL,2,4,6,66.7,21,3.5,10.5,10,0,1,2,7,4.4,32.6
70,Carson Wentz KC,2,2,2,100.0,20,10.0,10.0,12,0,0,0,0,35.7,108.3
71,Kyle Allen PIT,1,1,1,100.0,19,19.0,19.0,19,0,0,0,0,99.4,118.8
72,Jack Fox DET,15,1,1,100.0,17,17.0,1.1,17,0,0,0,0,,118.8
73,Stefon Diggs HOU,8,1,1,100.0,13,13.0,1.6,13,0,0,0,0,14.6,118.8
74,Tyson Bagent CHI,4,2,2,100.0,11,5.5,2.8,6,0,0,0,0,52.5,89.6
75,Mitchell Trubisky BUF,7,3,4,75.0,9,2.3,1.3,4,0,0,0,0,3.1,77.1
76,Clayton Tune ARI,5,2,2,100.0,8,4.0,1.6,7,0,0,0,0,0.3,83.3
77,Amon-Ra St. Brown DET,15,1,1,100.0,7,7.0,0.5,7,1,0,0,0,99.5,135.4
78,Kyle Trask TB,3,1,1,100.0,5,5.0,1.7,5,0,0,0,0,89.9,87.5
79,Bryan Anger DAL,15,1,2,50.0,4,2.0,0.3,4,0,0,0,0,,56.3
80,Riley Dixon DEN,15,1,1,100.0,3,3.0,0.2,3,0,0,0,0,,79.2
80,JK Scott LAC,15,1,1,100.0,3,3.0,0.2,3,0,0,0,0,,79.2
80,David Montgomery DET,14,1,1,100.0,3,3.0,0.2,3,1,0,0,0,100.0,118.8
83,Josh Johnson BAL,4,1,1,100.0,1,1.0,0.3,1,0,0,1,5,1.6,79.2
84,Johnny Hekker CAR,15,0,2,0.0,0,0.0,0.0,0,0,0,0,0,,39.6
84,Miles Killebrew PIT,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6
84,Tyler Boyd TEN,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.8,39.6
84,Kendrick Bourne NE,10,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.6,39.6
84,Joe Mixon HOU,12,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.9,39.6
84,Deebo Samuel Sr. SF,14,0,0,0.0,0,0.0,0.0,0,0,0,1,4,0.0,39.6
84,DJ Moore CHI,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.4,39.6
84,Jakobi Meyers LV,13,0,0,0.0,0,0.0,0.0,0,0,0,1,10,0.0,39.6
84,Saquon Barkley PHI,15,0,0,0.0,0,0.0,0.0,0,0,0,1,2,0.0,39.6
84,Darnell Mooney ATL,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.8,39.6
84,Ty Chandler MIN,15,0,0,0.0,0,0.0,0.0,0,0,0,1,1,1.4,39.6
84,Tutu Atwell LAR,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,1.8,39.6
