University,Player,Team,Position
Air Force,Jordan Jackson,Denver Broncos,Defensive Tackle
Air Force,Bo Richter,Minnesota Vikings,Linebacker
Air Force,Trey Taylor,Las Vegas Raiders,Safety
Alabama,Will Anderson Jr.,Houston Texans,Defensive End
Alabama,Jalyn Armour-Davis,Baltimore Ravens,Cornerback
Alabama,Terrion Arnold,Detroit Lions,Cornerback
Alabama,Jordan Battle,Cincinnati Bengals,Safety
Alabama,Bradley Bozeman,Los Angeles Chargers,Center
Alabama,Brian Branch,Detroit Lions,Safety
Alabama,Chris Braswell,Tampa Bay Buccaneers,Linebacker
Alabama,Jermaine Burton,Cincinnati Bengals,Wide Receiver
Alabama,Amari Cooper,Buffalo Bills,Wide Receiver
Alabama,Lester Cotton,New England Patriots,Guard
Alabama,Raekwon Davis,Indianapolis Colts,Defensive Tackle
Alabama,Landon Dickerson,Philadelphia Eagles,Guard
Alabama,Justin Eboigbe,Los Angeles Chargers,Defensive Tackle
Alabama,Minkah Fitzpatrick,Pittsburgh Steelers,Safety
Alabama,Jahmyr Gibbs,Detroit Lions,Running Back
Alabama,Da'Shawn Hand,Miami Dolphins,Defensive Tackle
Alabama,Najee Harris,Pittsburgh Steelers,Running Back
Alabama,Christian Harris,Houston Texans,Linebacker
Alabama,Ronnie Harrison Jr.,Indianapolis Colts,Safety
Alabama,Derrick Henry,Baltimore Ravens,Running Back
Alabama,Marlon Humphrey,Baltimore Ravens,Cornerback
Alabama,Kareem Jackson,Buffalo Bills,Safety
Alabama,Josh Jacobs,Green Bay Packers,Running Back
Alabama,Anfernee Jennings,New England Patriots,Linebacker
Alabama,Jerry Jeudy,Cleveland Browns,Wide Receiver
Alabama,Josh Jobe,Seattle Seahawks,Cornerback
Alabama,Mac Jones,Jacksonville Jaguars,Quarterback
Alabama,Ryan Kelly,Indianapolis Colts,Center
Alabama,JC Latham,Tennessee Titans,Offensive Tackle
Alabama,Phidarian Mathis,Washington Commanders,Defensive Tackle
Alabama,AJ McCarron,Cincinnati Bengals,Quarterback
Alabama,Xavier McKinney,Green Bay Packers,Safety
Alabama,Kool-Aid McKinstry,New Orleans Saints,Cornerback
Alabama,John Metchie III,Houston Texans,Wide Receiver
Alabama,Evan Neal,New York Giants,Offensive Tackle
Alabama,Daron Payne,Washington Commanders,Defensive Tackle
Alabama,LaBryan Ray,Carolina Panthers,Defensive End
Alabama,Jarran Reed,Seattle Seahawks,Defensive Tackle
Alabama,Will Reichard,Minnesota Vikings,Place kicker
Alabama,Eli Ricks,Philadelphia Eagles,Cornerback
Alabama,Calvin Ridley,Tennessee Titans,Wide Receiver
Alabama,A'Shawn Robinson,Carolina Panthers,Defensive End
Alabama,Cam Robinson,Minnesota Vikings,Offensive Tackle
Alabama,Brian Robinson Jr.,Washington Commanders,Running Back
Alabama,JK Scott,Los Angeles Chargers,Punter
Alabama,DeVonta Smith,Philadelphia Eagles,Wide Receiver
